"('mid',)","('pid',)"
tt0003102,nm0094343
tt0003102,nm0598293
tt0003131,nm0532622
tt0003165,nm0019855
tt0003165,nm0275421
tt0003165,nm0816232
tt0003167,nm0000428
tt0003167,nm0014872
tt0003214,nm0324690
tt0003214,nm0823088
tt0003311,nm0679610
tt0003311,nm0879826
tt0003330,nm0915270
tt0003360,nm0388674
tt0003419,nm0263912
tt0003419,nm0210503
tt0003424,nm0916665
tt0003471,nm0534073
tt0003471,nm0875869
tt0003489,nm0120272
tt0003489,nm0143333
tt0003512,nm0479514
tt0003637,nm0223865
tt0003637,nm0078116
tt0003637,nm0784988
tt0003643,nm0000590
tt0003643,nm0000428
tt0003657,nm0166693
tt0003657,nm0408436
tt0003662,nm0000428
tt0003662,nm0680450
tt0003679,nm0000122
tt0003679,nm0381902
tt0003733,nm0000122
tt0003740,nm0195339
tt0003740,nm0515385
tt0003740,nm0665163
tt0003740,nm0758215
tt0003758,nm0000122
tt0003758,nm0635667
tt0003760,nm0000122
tt0003772,nm0674518
tt0003805,nm0000122
tt0003805,nm0404327
tt0003839,nm0061955
tt0003863,nm0000122
tt0003863,nm0784407
tt0003883,nm0674600
tt0003923,nm0195435
tt0003923,nm0000122
tt0003930,nm0019855
tt0003930,nm0275421
tt0003930,nm0816232
tt0003934,nm0000122
tt0003934,nm0784407
tt0003952,nm0019855
tt0003952,nm0275421
tt0003952,nm0816232
tt0003961,nm0000122
tt0003961,nm0404327
tt0003973,nm0078442
tt0003973,nm0348348
tt0003973,nm0612348
tt0003973,nm0715097
tt0004007,nm0000122
tt0004008,nm0565560
tt0004011,nm0000122
tt0004026,nm0917467
tt0004026,nm0301961
tt0004052,nm0163937
tt0004052,nm1145098
tt0004052,nm0201405
tt0004052,nm1672198
tt0004052,nm0860052
tt0004060,nm0612348
tt0004066,nm0159725
tt0004066,nm0803842
tt0004074,nm0000122
tt0004091,nm0000122
tt0004091,nm0404327
tt0004099,nm0000875
tt0004100,nm0000122
tt0004101,nm0000122
tt0004102,nm0000122
tt0004108,nm0000122
tt0004134,nm0916665
tt0004150,nm0193327
tt0004181,nm0017701
tt0004181,nm0000428
tt0004181,nm1106102
tt0004181,nm0940488
tt0004189,nm0499883
tt0004189,nm0000122
tt0004194,nm0000122
tt0004277,nm0000122
tt0004279,nm0635667
tt0004280,nm0000122
tt0004280,nm0635667
tt0004282,nm0000122
tt0004282,nm0635667
tt0004284,nm0000122
tt0004284,nm0499883
tt0004286,nm0000875
tt0004288,nm0381902
tt0004311,nm0000122
tt0004390,nm0903941
tt0004395,nm0000122
tt0004413,nm0152165
tt0004457,nm0000875
tt0004465,nm0323766
tt0004465,nm0225458
tt0004465,nm0782707
tt0004465,nm0589616
