"('mid',)","('pid',)"
tt0001258,nm0088881
tt0001265,nm0000428
tt0001314,nm0516263
tt0001371,nm0000428
tt0001378,nm0516263
tt0001431,nm0000428
tt0001439,nm0000428
tt0001452,nm0000428
tt0001458,nm0000428
tt0001463,nm0877783
tt0001469,nm0000428
tt0001488,nm0617588
tt0001499,nm0000428
tt0001527,nm0823088
tt0001544,nm0448682
tt0001544,nm0205986
tt0001544,nm0587929
tt0001545,nm0629589
tt0001557,nm0000428
tt0001588,nm0408436
tt0001593,nm0000428
tt0001594,nm0000428
tt0001613,nm0000428
tt0001660,nm0872868
tt0001680,nm0000428
tt0001681,nm0000428
tt0001724,nm0000428
tt0001737,nm0565560
tt0001737,nm0085865
tt0001740,nm0000428
tt0001771,nm0784407
tt0001776,nm0511729
tt0001789,nm0000428
tt0001857,nm0072493
tt0001892,nm0300487
tt0001913,nm0000428
tt0001915,nm0401967
tt0001963,nm0088881
tt0001973,nm0000428
tt0002020,nm0580197
tt0002020,nm0221142
tt0002054,nm0000428
tt0002056,nm0823088
tt0002082,nm0000428
tt0002083,nm0096705
tt0002083,nm0665163
tt0002098,nm0587929
tt0002101,nm0309130
tt0002113,nm0617588
tt0002122,nm0629589
tt0002124,nm0872868
tt0002130,nm0655824
tt0002130,nm0078205
tt0002130,nm0209738
tt0002133,nm0784407
tt0002143,nm0376529
tt0002176,nm0000428
tt0002181,nm0869665
tt0002186,nm0511155
tt0002190,nm0000428
tt0002197,nm0000428
tt0002199,nm0646058
tt0002208,nm0000428
tt0002221,nm0823088
tt0002224,nm0784407
tt0002233,nm0784407
tt0002260,nm0565560
tt0002281,nm0285643
tt0002281,nm0408436
tt0002303,nm0000428
tt0002350,nm0000428
tt0002354,nm0503415
tt0002354,nm0511729
tt0002357,nm0000428
tt0002381,nm0000428
tt0002386,nm0000428
tt0002391,nm0000428
tt0002400,nm0000428
tt0002408,nm0000428
tt0002415,nm0000428
tt0002421,nm0002177
tt0002423,nm0523932
tt0002445,nm0345500
tt0002452,nm0218404
tt0002452,nm0108345
tt0002461,nm0130633
tt0002461,nm0443857
tt0002475,nm0036048
tt0002497,nm0000428
tt0002512,nm0000428
tt0002544,nm0803705
tt0002553,nm0000428
tt0002569,nm0784407
tt0002610,nm0001908
tt0002639,nm0106218
tt0002646,nm0088881
tt0002659,nm0499883
tt0002663,nm0784407
tt0002719,nm0000428
tt0002795,nm0000428
tt0002813,nm0107543
tt0002816,nm0408436
tt0002844,nm0275421
tt0002851,nm0629589
tt0002867,nm0784407
tt0002885,nm0938041
tt0002898,nm0135052
tt0002983,nm0349785
tt0002985,nm0000428
tt0002990,nm0916665
tt0003014,nm0803705
tt0003016,nm0063612
tt0003037,nm0275421
tt0003102,nm0143333
tt0003104,nm0784407
tt0003106,nm0784407
tt0003131,nm0532622
tt0003165,nm0275421
tt0003167,nm0000428
tt0003170,nm0000428
tt0003177,nm0784407
tt0003214,nm0823088
tt0003238,nm0784407
tt0003311,nm0679610
tt0003330,nm0296193
tt0003330,nm0915270
tt0003360,nm0388674
tt0003399,nm0524306
tt0003419,nm0753233
tt0003419,nm0917467
tt0003424,nm0806565
tt0003424,nm0916665
tt0003471,nm0875869
tt0003489,nm0143333
tt0003489,nm0734958
tt0003512,nm0617588
tt0003615,nm0428059
tt0003637,nm0784988
tt0003637,nm0078116
tt0003643,nm0000428
tt0003657,nm0054977
tt0003662,nm0000428
tt0003679,nm0499883
tt0003733,nm0784407
tt0003734,nm0316794
tt0003740,nm0665163
tt0003758,nm0635667
tt0003760,nm0000122
tt0003772,nm0456804
tt0003805,nm0629589
tt0003805,nm0784407
tt0003839,nm0061955
tt0003863,nm0000122
tt0003883,nm0674600
tt0003923,nm0000122
tt0003930,nm0275421
tt0003934,nm0784407
tt0003949,nm0000779
tt0003952,nm0275421
tt0003961,nm0629589
tt0003969,nm0629589
tt0003973,nm0237713
tt0004007,nm0000122
tt0004008,nm0565560
tt0004011,nm0000122
tt0004026,nm0301961
tt0004026,nm0917467
tt0004039,nm0043018
tt0004052,nm0897085
tt0004052,nm0540575
tt0004052,nm0391847
tt0004052,nm0569645
tt0004052,nm0403636
tt0004052,nm0204724
tt0004060,nm0048478
tt0004066,nm0159725
tt0004074,nm0784407
tt0004091,nm0629589
tt0004099,nm0531759
tt0004100,nm0000122
tt0004101,nm0000122
